,values
332,2.0393611062381773e+17
333,2.0450628431875277e+17
334,2.0514360547970253e+17
335,2.0550124215995597e+17
336,2.060432379004027e+17
337,2.064716192323502e+17
338,2.0706509557517517e+17
339,2.0763880057326797e+17
340,2.081916142237614e+17
341,2.087784298436526e+17
342,2.0927959159721165e+17
343,2.097890545484923e+17
344,2.1044386751892685e+17
345,2.112861689693307e+17
346,2.121485184710574e+17
347,2.1275563249585357e+17
348,2.131703432045691e+17
349,2.13713623654187e+17
350,2.145362196423803e+17
351,2.1536629329677517e+17
352,2.161317757269934e+17
353,2.170531757328302e+17
354,2.182017386731438e+17
355,2.189197263935406e+17
356,2.1926603128007885e+17
357,2.193796720415867e+17
358,2.1979307827637453e+17
359,2.2080865734683853e+17
360,2.2194967015017677e+17
361,2.227781033297838e+17
362,2.232767351945134e+17
363,2.2411184227355853e+17
364,2.251329752405934e+17
365,2.25740972091179e+17
366,2.2596050582965453e+17
367,2.2594049071959245e+17
368,2.260521220641915e+17
369,2.263119627293819e+17
370,2.264048702613422e+17
371,2.2637314123893965e+17
372,2.262499804530606e+17
373,2.2631747050818765e+17
374,2.2660809148746957e+17
375,2.26932128081707e+17
376,2.2722274906098893e+17
377,2.27575141492523e+17
378,2.2795430858083533e+17
379,2.2831708409777357e+17
380,2.2914408103840973e+17
381,2.2984358212324557e+17
382,2.3049842803494093e+17
383,2.307572541092987e+17
384,2.310578233493422e+17
385,2.3139834375048397e+17
386,2.3215787698900173e+17
387,2.329968645485691e+17
388,2.3397333575421133e+17
389,2.344738320943022e+17
390,2.3468033427000525e+17
391,2.3475156645235917e+17
392,2.3500994452557005e+17
393,2.355724758479995e+17
394,2.3638761393474765e+17
395,2.371810107893678e+17
396,2.3784699084721357e+17
397,2.3838215457017037e+17
398,2.3918432697666765e+17
399,2.393499292829614e+17
400,2.3912450564705485e+17
401,2.38679640508203e+17
402,2.38481334118187e+17
403,2.3862912179064013e+17
404,2.388590254380155e+17
405,2.392816091080622e+17
406,2.396707639866491e+17
407,2.402788728375214e+17
408,2.4029291899112653e+17
409,2.4005120919588045e+17
410,2.3940129129680077e+17
411,2.3883232984026317e+17
412,2.3842530762181837e+17
413,2.3824419656993997e+17
414,2.389201644180603e+17
415,2.40414327301931e+17
416,2.425528080705454e+17
417,2.4354553908251853e+17
418,2.4332799499619533e+17
419,2.4225555930959053e+17
420,2.414498555999355e+17
421,2.41357106186027e+17
422,2.4196535997844685e+17
423,2.4309616757918925e+17
424,2.437057390220411e+17
425,2.439902988093358e+17
426,2.4389234467622093e+17
427,2.438041806858158e+17
428,2.439726949995643e+17
429,2.44987233126187e+17
430,2.457359221016494e+17
431,2.459561541948539e+17
432,2.4560444694154445e+17
433,2.4532041421442253e+17
434,2.450365659583611e+17
435,2.4494917938171085e+17
436,2.4491374776159437e+17
437,2.45129539372843e+17
438,2.453296904734638e+17
439,2.454502554879918e+17
440,2.4537952401280205e+17
441,2.4516527405255885e+17
442,2.4486044880161997e+17
443,2.4450652789558477e+17
444,2.4435742257269965e+17
445,2.443453924242555e+17
446,2.4460237378800845e+17
447,2.448513701901435e+17
448,2.4499350514224333e+17
449,2.4501498284428493e+17
450,2.4499115972447437e+17
451,2.4497005096455373e+17
452,2.4495136668142797e+17
453,2.44950338914091e+17
454,2.450227306288251e+17
455,2.453908162770043e+17
456,2.4579023565245645e+17
457,2.4611693390056653e+17
458,2.462577116727214e+17
459,2.464085035881595e+17
460,2.466299347432571e+17
461,2.4695357604236493e+17
462,2.474922710684795e+17
463,2.4789207256255693e+17
464,2.4809810038410445e+17
465,2.4810719217208525e+17
466,2.4814467932687565e+17
467,2.48291900409643e+17
468,2.4852732501232845e+17
469,2.489094831671214e+17
470,2.4954038737046733e+17
471,2.5003285921942733e+17
472,2.502764664312955e+17
473,2.5030180484910285e+17
474,2.5032355925773517e+17
475,2.5037330056154317e+17
476,2.504589741926318e+17
477,2.505986319619195e+17
478,2.5061916095565005e+17
479,2.5045979113589965e+17
480,2.5028903681641677e+17
481,2.503268797368238e+17
482,2.504786730665902e+17
483,2.50597788665643e+17
484,2.505257658930299e+17
485,2.5027622925421773e+17
486,2.49891528034091e+17
487,2.49421126829867e+17
488,2.489606607099003e+17
489,2.486586684073902e+17
490,2.4856064839175373e+17
491,2.4864579496266957e+17
492,2.4885935974468813e+17
493,2.491771506758779e+17
494,2.496584356726702e+17
495,2.5022465641630925e+17
496,2.508552575600558e+17
497,2.5147332784819405e+17
498,2.5212946505731277e+17
499,2.5274919558499533e+17
500,2.5329252874063053e+17
501,2.537373543499694e+17
502,2.542897661170811e+17
503,2.549484068620206e+17
504,2.5570331514752205e+17
505,2.5639186655726797e+17
506,2.569728976917627e+17
507,2.5744327254297805e+17
508,2.5788658285432013e+17
509,2.5833927483673805e+17
510,2.587153586230395e+17
511,2.5900331794844877e+17
512,2.5925907389729997e+17
513,2.5953999696940237e+17
514,2.59854941775659e+17
515,2.6025071125941453e+17
516,2.6078715310329037e+17
517,2.6144972044651725e+17
518,2.6223996811660493e+17
519,2.6305667420736717e+17
520,2.6382446911409357e+17
521,2.644553074349179e+17
522,2.650104335619195e+17
523,2.655258984109179e+17
524,2.6592374978235597e+17
525,2.6621745406364877e+17
526,2.6639623287426253e+17
527,2.665562483427246e+17
528,2.668102122869883e+17
529,2.6720002599079117e+17
530,2.676913251308667e+17
531,2.6818739416550605e+17
532,2.6869463687580877e+17
533,2.691936574474158e+17
534,2.697100446517166e+17
535,2.703379050825646e+17
536,2.71023346837291e+17
537,2.7189631660149965e+17
538,2.7276193387629773e+17
539,2.7360459768057037e+17
540,2.74307590539051e+17
541,2.749134462076846e+17
542,2.7547695259143373e+17
543,2.760379817923707e+17
544,2.7692006969756877e+17
545,2.780956247069819e+17
546,2.794360704914555e+17
547,2.807005669050286e+17
548,2.8182107047939277e+17
549,2.828458335733678e+17
550,2.8350407902317773e+17
551,2.83751191185195e+17
552,2.836785095873659e+17
553,2.8356516529720525e+17
554,2.8353103815101645e+17
555,2.835997931505582e+17
556,2.8380466143972557e+17
557,2.8414366654287053e+17
558,2.8458397261122765e+17
559,2.8510017534446797e+17
560,2.856357475390587e+17
561,2.861663126620078e+17
562,2.8673503694146765e+17
563,2.873445556783022e+17
564,2.8802198611840205e+17
565,2.8871849613675725e+17
566,2.893779011189473e+17
567,2.899655732116193e+17
568,2.904925279723848e+17
569,2.909924445462856e+17
570,2.9146922317860045e+17
571,2.919242342257787e+17
572,2.9236259017149645e+17
573,2.928013941183611e+17
574,2.9323645593799885e+17
575,2.936527280624763e+17
576,2.940446236539617e+17
577,2.944174923732091e+17
578,2.947640344368251e+17
579,2.951131327422792e+17
580,2.953124932526408e+17
581,2.95388389917524e+17
582,2.95381801665364e+17
583,2.954394884012769e+17
584,2.955979226892206e+17
585,2.958366282414817e+17
586,2.96136446420779e+17
587,2.964609837221806e+17
588,2.967942965754593e+17
589,2.971442645301985e+17
590,2.975361337686753e+17
591,2.978829393623777e+17
592,2.981332929444577e+17
593,2.982823192083169e+17
594,2.983810112256737e+17
595,2.984886369129595e+17
596,2.986312857487278e+17
597,2.987729858761851e+17
598,2.989052252735406e+17
599,2.990032321126728e+17
600,2.991044276658504e+17
601,2.992300788110459e+17
602,2.994040613740872e+17
603,2.997458862491566e+17
604,3.001495352824955e+17
605,3.006335082861691e+17
606,3.0114644324633805e+17
607,3.0163186566548685e+17
608,3.0206879854873805e+17
609,3.02433207952212e+17
610,3.028753850841825e+17
611,3.0343230321577165e+17
612,3.041221986289582e+17
613,3.0491347406638285e+17
614,3.057340804024238e+17
615,3.064992136552776e+17
616,3.071498167325819e+17
617,3.077513768608072e+17
618,3.084113616091873e+17
619,3.091706972001403e+17
620,3.099726192530555e+17
621,3.1073893839129805e+17
622,3.1140672363023565e+17
623,3.118170136217518e+17
624,3.120522932828897e+17
625,3.12234181748523e+17
626,3.123970960479355e+17
627,3.126081836471419e+17
628,3.127990584887214e+17
629,3.12970089514795e+17
630,3.1308567381069005e+17
631,3.1333405091712205e+17
632,3.140353835360584e+17
633,3.1499020574510285e+17
634,3.1612970983869645e+17
635,3.172600957913006e+17
636,3.182625378869576e+17
637,3.190967423754568e+17
638,3.1976537091067085e+17
